Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.0808984,16.255941499085925,-1.7839952,-9.382546645020126,-9.382546645020126,25.875463,0.06856914,0.00029845643,0.1994855,0.004974325,1.0
20000,0.9905331,32.79272727272727,-3.3139338,-8.924888358029316,-8.924888358029316,9.730635,0.06267579,0.00029567414,0.19855806,0.0049280464,1.0
30000,0.81866056,77.68181818181819,-3.8879783,-7.577756608962207,-7.577756608962207,3.5905616,0.065175846,0.00029254495,0.19751498,0.004875997,1.0
40000,0.7196628,204.91304347826087,-3.111992,-0.546293322806773,-0.546293322806773,2.3610244,0.06797921,0.00028939004,0.19646335,0.0048235203,1.0
50000,0.6660683,216.1875,-2.0842676,1.2392190982742857,1.2392190982742857,2.5972412,0.07442538,0.00028625724,0.1954191,0.004771412,1.0
60000,0.59781677,305.375,-1.0625213,5.953750239685178,5.953750239685178,1.6489737,0.06922142,0.0002834448,0.19448161,0.0047246316,1.0
70000,0.58592695,302.61290322580646,-0.07903716,6.241838903436737,6.241838903436737,1.6719621,0.06837688,0.00028063593,0.19354531,0.0046779104,1.0
80000,0.56390285,324.8709677419355,0.3870186,9.315435758281138,9.315435758281138,1.6765392,0.069879614,0.00027753177,0.19251058,0.004626278,1.0
90000,0.5382442,305.1666666666667,1.0532225,7.602300233021379,7.602300233021379,1.4295018,0.073534206,0.00027442,0.19147334,0.0045745187,1.0
100000,0.5378068,335.4193548387097,1.718345,11.965500251203775,11.965500251203775,1.3601489,0.07034651,0.00027128257,0.19042751,0.004522333,1.0
110000,0.54216313,298.125,2.1150591,8.5487427300576,8.5487427300576,1.4229755,0.064196914,0.00026846494,0.1894883,0.0044754664,1.0
120000,0.5271888,308.0625,2.1196125,8.978609596961178,8.978609596961178,1.3024942,0.071336456,0.00026567586,0.18855862,0.004429075,1.0
130000,0.47860476,311.05263157894734,2.2948217,9.77372396482449,9.77372396482449,1.4615959,0.06688356,0.00026255418,0.18751806,0.004377151,1.0
140000,0.48120958,329.6666666666667,2.3727374,10.526555805018655,10.526555805018655,1.084823,0.06237623,0.0002594265,0.18647549,0.004325127,1.0
