Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.782017,214.0,-0.18207678,-4.079555314147111,-4.079555314147111,1.2989109,0.066510215,0.00029911532,0.1997051,0.0049852845,1.0
20000,1.7518368,253.0888888888889,-0.16699906,0.8648445914189021,0.8648445914189021,0.86324406,0.08272405,0.00029769397,0.19923133,0.0049616434,1.0
30000,1.7294388,141.02777777777777,0.48688868,7.47214823609425,7.47214823609425,3.0548692,0.0653735,0.00029622717,0.19874239,0.0049372446,1.0
40000,1.6256201,90.46428571428571,1.6792626,8.008446518464812,8.008446518464812,3.7455444,0.06968405,0.0002946673,0.19822243,0.0049112993,1.0
50000,1.5074594,70.5251798561151,2.8752239,8.928842996060848,8.928842996060848,3.2149725,0.067745216,0.0002932597,0.19775325,0.0048878863,1.0
60000,1.3081342,59.02298850574713,4.5683904,9.01362292443003,9.01362292443003,3.0251403,0.069118075,0.0002918592,0.19728641,0.004864592,1.0
70000,1.203578,53.96648044692738,5.7039447,9.59930738290595,9.59930738290595,1.8637979,0.074013636,0.00029029883,0.19676629,0.0048386366,1.0
80000,1.097119,49.51794871794872,6.4680305,9.3154086461434,9.3154086461434,1.3502262,0.071851954,0.00028874492,0.1962483,0.0048127905,1.0
90000,1.0418125,51.322916666666664,6.7573586,9.358257062966004,9.358257062966004,1.3470442,0.06856875,0.00028717966,0.19572656,0.004786755,1.0
100000,0.84495187,43.79668049792531,7.4709005,9.507130280840551,9.507130280840551,1.2624085,0.07007167,0.0002856232,0.19520774,0.0047608656,1.0
110000,0.8209064,44.34761904761905,7.661488,9.484538332516447,9.484538332516447,0.8097041,0.071925715,0.0002842294,0.19474314,0.0047376817,1.0
120000,0.66896266,37.36015325670498,8.122218,9.834868573137626,9.834868573137626,0.30408794,0.06831579,0.00028283877,0.1942796,0.0047145514,1.0
130000,0.634646,36.92156862745098,8.087192,9.601630292541813,9.601630292541813,0.45605183,0.067318134,0.00028128602,0.193762,0.0046887235,1.0
140000,0.59400034,39.60629921259842,7.9923863,9.511727155838894,9.511727155838894,0.57951623,0.06640621,0.00027972757,0.19324252,0.0046628015,1.0
150000,0.5445002,37.745173745173744,8.090418,9.679070854394132,9.679070854394132,0.8703952,0.07020609,0.00027817968,0.19272657,0.0046370546,1.0
160000,0.5732278,42.82378854625551,7.786438,9.506550296750651,9.506550296750651,0.39316028,0.074411295,0.0002767785,0.1922595,0.0046137483,1.0
170000,0.56528056,38.344,7.9345703,9.511508691892681,9.511508691892681,0.8376625,0.0778289,0.00027537724,0.1917924,0.0045904415,1.0
180000,0.50736773,36.55925925925926,8.100521,9.690923536265338,9.690923536265338,0.6172526,0.062727265,0.00027382481,0.19127493,0.0045646187,1.0
190000,0.47832838,35.29044117647059,8.176347,9.69645350119647,9.69645350119647,0.5710491,0.07286054,0.00027227175,0.19075724,0.0045387866,1.0
200000,0.43633944,34.890977443609025,8.229605,9.768767002213718,9.768767002213718,0.5562878,0.0723933,0.00027072194,0.19024065,0.0045130076,1.0
210000,0.47841024,40.81481481481482,7.8827844,9.370409924170522,9.370409924170522,1.2507845,0.06516774,0.00026917137,0.18972379,0.0044872174,1.0
220000,0.4456319,39.641129032258064,7.865834,9.466712464668579,9.466712464668579,0.56676227,0.066358164,0.00026776854,0.18925618,0.004463883,1.0
230000,0.40839696,38.7,7.992034,9.662017994685192,9.662017994685192,0.38784224,0.07417084,0.00026637097,0.1887903,0.0044406364,1.0
240000,0.40898028,38.147410358565736,8.034228,9.631936327810307,9.631936327810307,0.66997755,0.07208087,0.0002648122,0.18827072,0.004414709,1.0
250000,0.37685367,36.21153846153846,8.104293,9.646464200890982,9.646464200890982,0.6631781,0.06563564,0.0002632563,0.18775208,0.0043888288,1.0
260000,0.36779082,38.526923076923076,8.008205,9.638720608559938,9.638720608559938,0.7047679,0.06717788,0.00026169984,0.18723325,0.0043629403,1.0
270000,0.34651962,35.106463878327,8.052167,9.805522089128225,9.805522089128225,0.46716136,0.066713355,0.00026014488,0.18671496,0.004337077,1.0
280000,0.3333227,42.2,7.8718133,9.694834761442692,9.694834761442692,0.61990774,0.06967928,0.0002587465,0.18624882,0.0043138163,1.0
290000,0.32047293,34.213523131672595,8.2585745,9.81328376784181,9.81328376784181,0.33145213,0.07381704,0.00025735304,0.18578434,0.0042906394,1.0
300000,0.34736714,36.44186046511628,8.089676,9.753150689958606,9.753150689958606,0.38476124,0.07103331,0.00025580294,0.18526764,0.0042648553,1.0
310000,0.33893648,35.81754385964912,8.217386,9.702633884800992,9.702633884800992,0.35045725,0.06415939,0.00025425234,0.18475077,0.0042390632,1.0
320000,0.35250622,36.08949416342413,8.14822,9.721774400266227,9.721774400266227,0.43762246,0.06130583,0.00025269386,0.18423128,0.0042131413,1.0
330000,0.3278247,37.51127819548872,8.078115,9.693880508874209,9.693880508874209,0.39873502,0.07434436,0.00025113273,0.1837109,0.0041871737,1.0
340000,0.32481328,39.72764227642276,7.9404826,9.533338772654533,9.533338772654533,0.42603385,0.076972514,0.0002497334,0.18324447,0.004163898,1.0
350000,0.28715974,34.52097902097902,8.193576,9.673818905075253,9.673818905075253,0.9328912,0.06704629,0.00024833324,0.18277772,0.004140609,1.0
360000,0.28582585,35.45090909090909,8.20797,9.663732933922795,9.663732933922795,1.146918,0.06853845,0.00024677918,0.18225971,0.00411476,1.0
370000,0.26725698,34.292418772563174,8.281498,9.776153028865869,9.776153028865869,0.5275324,0.07432683,0.0002452268,0.18174225,0.004088939,1.0
380000,0.28999695,35.234657039711195,8.193625,9.645103987468326,9.645103987468326,0.6111196,0.06685321,0.00024368044,0.18122679,0.0040632165,1.0
390000,0.27119762,35.303886925795055,8.297572,9.772360875668491,9.772360875668491,0.53540295,0.06923409,0.00024213451,0.1807115,0.004037503,1.0
400000,0.2742325,32.761538461538464,8.256741,9.889165494058814,9.889165494058814,0.18068251,0.071862034,0.0002407433,0.18024775,0.0040143626,1.0
410000,0.2817786,42.52589641434263,8.024184,9.574788425590784,9.574788425590784,0.33976498,0.066815935,0.0002393402,0.17978004,0.003991024,1.0
420000,0.2785991,40.81742738589212,7.9760504,9.529925396828236,9.529925396828236,0.6208309,0.075884774,0.0002377883,0.17926277,0.0039652106,1.0
430000,0.27826524,35.628787878787875,8.1480875,9.727762704884464,9.727762704884464,0.8697588,0.069872424,0.00023623373,0.17874457,0.0039393534,1.0
440000,0.26385075,35.11619718309859,8.263284,9.739894450812692,9.739894450812692,0.8076223,0.06969091,0.00023468192,0.17822728,0.003913542,1.0
450000,0.28316852,34.680701754385964,8.1753025,9.703374028739963,9.703374028739963,0.62047654,0.06874727,0.00023312804,0.17770933,0.0038876955,1.0
460000,0.31113234,38.32244897959184,8.0918255,9.47184604821927,9.47184604821927,0.7280705,0.06946138,0.00023173621,0.17724538,0.003864545,1.0
470000,0.2899107,38.007936507936506,8.060149,9.595520495956123,9.595520495956123,1.3231578,0.059400607,0.00023034806,0.17678268,0.0038414553,1.0
480000,0.25687104,34.79710144927536,8.12548,9.773806839641454,9.773806839641454,0.32906997,0.0686579,0.00022880096,0.17626695,0.0038157217,1.0
490000,0.2420677,38.0625,8.03799,9.636936530876715,9.636936530876715,0.9328886,0.06616296,0.00022724058,0.17574686,0.0037897676,1.0
500000,0.23782018,37.46037735849057,8.043927,9.722711844439793,9.722711844439793,0.3665318,0.06814277,0.00022568328,0.17522776,0.0037638645,1.0
510000,0.23974605,33.806666666666665,8.278237,9.7814299756083,9.7814299756083,0.6054718,0.06775827,0.00022413237,0.17471078,0.0037380673,1.0
520000,0.21783209,37.10162601626016,8.126215,9.65679435787024,9.65679435787024,0.29452834,0.07521782,0.00022272837,0.17424276,0.0037147144,1.0
530000,0.22106232,37.375,8.054488,9.64615163144966,9.64615163144966,1.2701178,0.06659235,0.00022133153,0.17377716,0.0036914803,1.0
540000,0.18797988,35.25278810408922,8.208004,9.807077566086146,9.807077566086146,0.27550644,0.06555951,0.000219786,0.17326197,0.0036657732,1.0
550000,0.17719296,35.83859649122807,8.252387,9.773515233678834,9.773515233678834,0.2926764,0.070065655,0.00021823807,0.17274602,0.0036400259,1.0
560000,0.21066934,34.04059040590406,8.222795,9.716730004298862,9.716730004298862,0.5716296,0.06986798,0.00021668678,0.1722289,0.0036142226,1.0
570000,0.21547087,37.577777777777776,8.181913,9.605060227663445,9.605060227663445,0.75048506,0.06980583,0.00021513917,0.17171305,0.0035884804,1.0
580000,0.17984332,37.583657587548636,8.055187,9.674347448223395,9.674347448223395,0.32746,0.072865665,0.00021374147,0.17124714,0.0035652323,1.0
590000,0.19311093,39.6875,7.8641305,9.609417395807114,9.609417395807114,1.2054178,0.06689937,0.00021234414,0.17078137,0.0035419897,1.0
600000,0.19910862,36.595588235294116,8.030676,9.620175251832409,9.620175251832409,0.75339985,0.06559001,0.0002107879,0.1702626,0.003516104,1.0
610000,0.19794273,34.89208633093525,8.148436,9.774363277152874,9.774363277152874,0.68154633,0.07089369,0.0002092326,0.16974418,0.0034902345,1.0
620000,0.18827908,33.8986013986014,8.274529,9.745214553458707,9.745214553458707,0.5002574,0.07002045,0.00020768175,0.16922724,0.0034644387,1.0
630000,0.18153223,36.90944881889764,8.115902,9.754852688526253,9.754852688526253,0.3153529,0.06981851,0.0002061339,0.16871129,0.0034386932,1.0
640000,0.17615274,34.36713286713287,8.269313,9.712080252744078,9.712080252744078,0.6179501,0.06940674,0.00020474041,0.16824679,0.003415515,1.0
650000,0.17850535,34.46808510638298,8.243232,9.814841707917394,9.814841707917394,0.24764112,0.06955798,0.0002033422,0.16778071,0.003392258,1.0
660000,0.19831018,33.92226148409894,8.243766,9.726890546799549,9.726890546799549,0.5226703,0.06536339,0.00020178535,0.16726175,0.0033663623,1.0
670000,0.20618267,39.15725806451613,7.959691,9.594519477292716,9.594519477292716,0.4502781,0.07052035,0.00020023393,0.16674462,0.0033405572,1.0
680000,0.20136042,37.52713178294574,8.074116,9.73742642923612,9.73742642923612,0.3964812,0.067571245,0.00019868146,0.16622713,0.0033147335,1.0
690000,0.18057275,35.147887323943664,8.170742,9.635221125368487,9.635221125368487,0.8432778,0.06907914,0.00019713023,0.16571006,0.0032889317,1.0
700000,0.19525284,36.58914728682171,8.058533,9.59907442302658,9.59907442302658,0.97394186,0.07080923,0.00019573889,0.16524628,0.0032657892,1.0
710000,0.23537515,39.211618257261414,7.857711,9.499534474177795,9.499534474177795,0.9062462,0.06670082,0.00019433415,0.16477802,0.0032424238,1.0
720000,0.19650243,45.559471365638764,7.732567,9.449653538575781,9.449653538575781,0.83514327,0.068842664,0.00019276532,0.1642551,0.0032163288,1.0
730000,0.20638707,35.256410256410255,8.168985,9.807669189724608,9.807669189724608,0.36984462,0.066493705,0.00019120448,0.16373481,0.003190367,1.0
740000,0.15856957,39.48412698412698,8.011449,9.589205937140965,9.589205937140965,0.6298409,0.0680605,0.00018964816,0.16321604,0.00316448,1.0
750000,0.16078568,31.552901023890787,8.328811,9.891220385846445,9.891220385846445,0.26768532,0.07422157,0.00018824589,0.1627486,0.0031411557,1.0
760000,0.14847225,38.6420233463035,8.079872,9.635701780595204,9.635701780595204,0.29972488,0.072287604,0.00018683678,0.16227892,0.0031177178,1.0
770000,0.1610214,36.221374045801525,8.097692,9.79271784276341,9.79271784276341,0.34425837,0.06327982,0.00018528057,0.16176018,0.0030918326,1.0
780000,0.16673256,38.39442231075697,8.061988,9.592513299000169,9.592513299000169,0.666269,0.066630475,0.00018371886,0.1612396,0.003065856,1.0
790000,0.1399908,37.31818181818182,8.065146,9.532709664298277,9.532709664298277,1.1898547,0.07277427,0.00018215952,0.16071983,0.003039919,1.0
800000,0.13176443,40.036144578313255,7.944399,9.583761790670065,9.583761790670065,0.41372964,0.07483083,0.0001807667,0.16025555,0.0030167517,1.0
810000,0.14900893,33.59363957597173,8.266185,9.745396597866426,9.745396597866426,0.7483994,0.0693125,0.00017937392,0.1597913,0.002993585,1.0
820000,0.14989357,34.75,8.1755295,9.69807851780206,9.69807851780206,0.48672757,0.06325886,0.0001778204,0.15927345,0.002967745,1.0
830000,0.15958825,38.17424242424242,8.097186,9.643383754368099,9.643383754368099,0.615995,0.06749292,0.00017626175,0.1587539,0.0029418196,1.0
840000,0.15826462,35.33812949640288,8.207209,9.701025152612331,9.701025152612331,0.54039484,0.06720175,0.00017470623,0.1582354,0.0029159458,1.0
850000,0.18234374,36.007407407407406,8.171216,9.728532385859472,9.728532385859472,0.6233945,0.07291252,0.00017315283,0.15771759,0.0028901077,1.0
860000,0.2066024,35.567567567567565,8.177946,9.651982316329452,9.651982316329452,0.27635673,0.069249,0.00017175812,0.1572527,0.002866909,1.0
870000,0.20440699,39.948,7.996738,9.66465605390072,9.66465605390072,1.1885463,0.065430656,0.00017035918,0.15678637,0.0028436403,1.0
880000,0.19657528,32.75675675675676,8.339224,9.85501359559193,9.85501359559193,0.27946132,0.06933082,0.00016881184,0.1562706,0.0028179025,1.0
890000,0.17546932,39.10441767068273,8.089474,9.666460609160753,9.666460609160753,0.5537289,0.0663894,0.00016726494,0.15575495,0.0027921724,1.0
900000,0.19626915,35.767272727272726,8.167784,9.624211000854318,9.624211000854318,0.9686022,0.06784145,0.0001657175,0.15523915,0.0027664336,1.0
910000,0.18337648,36.75092936802974,8.179616,9.80169907857233,9.80169907857233,0.3059399,0.06976516,0.00016416304,0.154721,0.0027405773,1.0
920000,0.18740405,34.48398576512456,8.263869,9.882464158766682,9.882464158766682,0.2810309,0.06699273,0.00016276739,0.15425578,0.0027173632,1.0
930000,0.23466642,36.32692307692308,8.228111,9.609564968249725,9.609564968249725,0.99677116,0.07451527,0.00016136508,0.15378836,0.0026940382,1.0
940000,0.20466591,35.8235294117647,8.199095,9.7610393159968,9.7610393159968,0.56033665,0.06059261,0.00015981818,0.15327272,0.0026683086,1.0
950000,0.20218301,35.988929889298895,8.1591,9.65670363242116,9.65670363242116,0.7614702,0.06609215,0.00015827053,0.15275684,0.0026425654,1.0
960000,0.21212666,34.90942028985507,8.291068,9.845417652857433,9.845417652857433,0.23721096,0.0650834,0.00015671676,0.1522389,0.0026167212,1.0
970000,0.20034635,33.38047138047138,8.366998,9.745093232302954,9.745093232302954,0.6649523,0.06809496,0.00015516025,0.15172005,0.002590831,1.0
980000,0.20280603,32.88275862068966,8.430265,9.819564812423028,9.819564812423028,0.20483598,0.06672289,0.00015376731,0.15125576,0.002567662,1.0
990000,0.16238017,34.02919708029197,8.250622,9.775035202665762,9.775035202665762,0.22229862,0.06888769,0.00015237436,0.15079144,0.0025444927,1.0
1000000,0.17639364,35.57446808510638,8.296041,9.808444505781992,9.808444505781992,0.24770899,0.07138858,0.00015081561,0.15027185,0.0025185652,1.0
1010000,0.1770614,33.91319444444444,8.344296,9.815981611970386,9.815981611970386,0.19508888,0.06768034,0.0001492645,0.1497548,0.0024927647,1.0
1020000,0.1574611,37.122605363984675,8.198329,9.72112395680042,9.72112395680042,0.6081154,0.06533773,0.00014771605,0.14923866,0.0024670092,1.0
1030000,0.15884951,38.286274509803924,8.104701,9.716028979385463,9.716028979385463,0.6224741,0.072191976,0.00014616376,0.14872123,0.0024411893,1.0
1040000,0.15382555,35.17164179104478,8.198863,9.691881106300867,9.691881106300867,0.5303629,0.06632125,0.00014476928,0.1482564,0.0024179944,1.0
1050000,0.15814826,38.796875,8.064302,9.712455790373497,9.712455790373497,0.35282785,0.07249207,0.0001433727,0.14779088,0.0023947647,1.0
1060000,0.13367721,34.77818181818182,8.211602,9.736855122166267,9.736855122166267,0.2570302,0.070196606,0.00014181336,0.14727111,0.0023688278,1.0
1070000,0.1432705,37.168539325842694,8.133718,9.761742916279072,9.761742916279072,0.6243106,0.066133305,0.00014026278,0.14675425,0.0023430365,1.0
1080000,0.13299231,33.90613718411552,8.269435,9.705307008551179,9.705307008551179,0.64430344,0.06494033,0.00013870734,0.14623575,0.0023171646,1.0
1090000,0.12838572,39.54054054054054,8.0897045,9.636119373925466,9.636119373925466,0.33422607,0.06991891,0.00013714944,0.14571646,0.0022912514,1.0
1100000,0.16074419,36.97674418604651,8.068226,9.557489216727316,9.557489216727316,0.9384346,0.06592242,0.00013575364,0.14525118,0.0022680343,1.0
1110000,0.14933988,33.54609929078014,8.318801,9.780160261969684,9.780160261969684,0.5530224,0.06551537,0.00013435868,0.14478621,0.0022448315,1.0
1120000,0.16517094,38.49809885931559,8.150184,9.373386861713788,9.373386861713788,1.458637,0.065150544,0.0001328043,0.14426808,0.0022189773,1.0
1130000,0.18874112,36.04961832061068,8.129148,9.688886411973343,9.688886411973343,0.52999645,0.06719649,0.00013125259,0.14375083,0.002193167,1.0
1140000,0.16835062,35.874538745387454,8.218738,9.43638841131013,9.43638841131013,1.755332,0.07116656,0.00012970579,0.14323524,0.0021674386,1.0
1150000,0.16303949,34.2589928057554,8.230143,9.739956883056987,9.739956883056987,0.59347063,0.07087885,0.00012815974,0.14271988,0.0021417227,1.0
1160000,0.18618351,37.99595141700405,8.012789,9.381609171628952,9.381609171628952,1.4766079,0.06260326,0.00012676508,0.14225501,0.0021185246,1.0
1170000,0.1779049,38.98872180451128,8.026854,9.672679290175438,9.672679290175438,0.90735185,0.066478714,0.00012536443,0.14178811,0.0020952267,1.0
1180000,0.18162774,33.42758620689655,8.272758,9.77262538368332,9.77262538368332,0.40535092,0.066106215,0.00012379994,0.14126661,0.0020692046,1.0
1190000,0.1888623,37.63706563706564,8.095428,9.719241092354059,9.719241092354059,0.28711298,0.065272965,0.00012224026,0.14074674,0.002043262,1.0
1200000,0.1811825,34.63214285714286,8.2047205,9.810788149120553,9.810788149120553,0.2771818,0.068006046,0.000120686134,0.14022869,0.0020174116,1.0
1210000,0.16938888,35.35471698113208,8.172886,9.64872336882422,9.64872336882422,0.8663362,0.067203306,0.00011913665,0.1397122,0.0019916384,1.0
1220000,0.17896749,35.47552447552447,8.297818,9.845529064892094,9.845529064892094,0.24047737,0.06495647,0.000117740885,0.13924696,0.0019684222,1.0
1230000,0.17275207,33.85664335664335,8.338438,9.74543363965683,9.74543363965683,0.23607011,0.065886036,0.000116345895,0.13878193,0.0019452188,1.0
1240000,0.17201258,32.686868686868685,8.3525505,9.687230147195585,9.687230147195585,1.0014138,0.06996538,0.00011479612,0.13826536,0.0019194409,1.0
1250000,0.15768039,35.52091254752852,8.209069,9.689259887761489,9.689259887761489,0.5738045,0.06803869,0.000113237686,0.13774586,0.0018935188,1.0
1260000,0.16582648,34.15714285714286,8.272173,9.635839320877766,9.635839320877766,0.88302135,0.07123487,0.000111678826,0.13722625,0.0018675898,1.0
1270000,0.15308918,35.79858657243816,8.247067,9.6639572554401,9.6639572554401,0.8222637,0.065402105,0.00011012897,0.13670963,0.0018418103,1.0
1280000,0.15663196,35.63670411985019,8.212601,9.881135875372975,9.881135875372975,0.28347892,0.065670565,0.00010873489,0.13624492,0.0018186222,1.0
1290000,0.17067541,36.5763358778626,8.069418,9.532261172571562,9.532261172571562,1.2483928,0.07217167,0.00010733621,0.1357787,0.0017953574,1.0
1300000,0.16763516,43.22831050228311,7.739487,9.534621081259697,9.534621081259697,0.58048916,0.07163854,0.00010579186,0.13526392,0.00176967,1.0
1310000,0.16331284,40.22047244094488,8.011769,9.627716630931914,9.627716630931914,0.4090661,0.061630655,0.00010424018,0.1347467,0.0017438602,1.0
1320000,0.16278446,34.07857142857143,8.192704,9.741822124535078,9.741822124535078,0.84430045,0.06993252,0.00010268814,0.13422935,0.0017180445,1.0
1330000,0.1690776,38.2,8.05489,9.55619677855594,9.55619677855594,0.8263707,0.06605168,0.000101141595,0.13371383,0.0016923206,1.0
1340000,0.17089719,37.14509803921569,8.094072,9.797856489225076,9.797856489225076,0.34879124,0.0768503,9.974595e-05,0.13324863,0.0016691061,1.0
1350000,0.14684042,37.116,8.026287,9.594112067818642,9.594112067818642,0.8495471,0.0696659,9.8350574e-05,0.1327835,0.0016458966,1.0
1360000,0.15947065,38.88549618320611,8.009975,9.629244713728871,9.629244713728871,0.4281597,0.07125314,9.68011e-05,0.132267,0.0016201237,1.0
1370000,0.15631987,40.795833333333334,7.8877807,9.571657048963413,9.571657048963413,0.71789026,0.06943123,9.524666e-05,0.13174886,0.0015942678,1.0
1380000,0.16029207,34.544483985765126,8.212332,9.704913450040427,9.704913450040427,0.9333819,0.07436113,9.369152e-05,0.13123047,0.0015684009,1.0
1390000,0.16360718,39.0609756097561,8.027808,9.78637945015983,9.78637945015983,0.39247632,0.072154574,9.214204e-05,0.13071398,0.001542628,1.0
1400000,0.1851742,38.58232931726908,7.9618483,9.61471723204115,9.61471723204115,0.78889406,0.07560399,9.074674e-05,0.13024889,0.0015194194,1.0
1410000,0.1705043,35.5985401459854,8.153531,9.762977031090044,9.762977031090044,0.6437755,0.06747557,8.935121e-05,0.1297837,0.0014962071,1.0
1420000,0.16865851,40.81707317073171,7.9902363,9.738631230458372,9.738631230458372,0.3709299,0.06321486,8.780381e-05,0.12926792,0.0014704687,1.0
1430000,0.17438544,36.75,8.113265,9.800696483331985,9.800696483331985,0.3700356,0.068959236,8.6251166e-05,0.12875035,0.0014446427,1.0
1440000,0.16977286,34.15613382899628,8.187788,9.84707414391968,9.84707414391968,0.25319144,0.069290444,8.469717e-05,0.12823236,0.0014187947,1.0
1450000,0.14234695,35.809859154929576,8.29972,9.80170198986438,9.80170198986438,0.22260717,0.062485628,8.314584e-05,0.12771526,0.0013929909,1.0
1460000,0.15829502,35.767175572519086,8.168113,9.727454629134048,9.727454629134048,0.6826159,0.06809529,8.175151e-05,0.1272505,0.0013697986,1.0
1470000,0.14313231,37.06415094339623,8.100329,9.644301938898158,9.644301938898158,0.624158,0.07086708,8.034915e-05,0.12678303,0.0013464728,1.0
1480000,0.154958,34.28621908127209,8.261738,9.8128756623138,9.8128756623138,0.29381818,0.06656373,7.879667e-05,0.12626554,0.0013206498,1.0
1490000,0.15529191,37.88549618320611,8.134878,9.818274906971528,9.818274906971528,0.302769,0.06846596,7.723992e-05,0.12574662,0.0012947556,1.0
1500000,0.13968538,33.156028368794324,8.343695,9.747286309359772,9.747286309359772,0.71988857,0.06868093,7.568484e-05,0.12522826,0.0012688895,1.0
1510000,0.14539954,38.725563909774436,8.166737,9.558877814748111,9.558877814748111,0.8938053,0.067897566,7.4130265e-05,0.12471006,0.0012430319,1.0
1520000,0.13038334,33.49034749034749,8.213258,9.8112135656764,9.8112135656764,0.57041574,0.071497075,7.272901e-05,0.12424298,0.0012197243,1.0
1530000,0.13903113,42.70247933884298,7.907334,9.5592593295584,9.5592593295584,0.41184384,0.06442438,7.132899e-05,0.1237763,0.0011964373,1.0
1540000,0.13408686,35.51798561151079,8.189394,9.664657184193212,9.664657184193212,0.91948843,0.06732327,6.977438e-05,0.123258114,0.0011705791,1.0
1550000,0.12637788,34.226618705035975,8.207309,9.776365655938356,9.776365655938356,0.28013033,0.06967574,6.821549e-05,0.122738466,0.0011446496,1.0
1560000,0.12812431,34.06716417910448,8.17828,9.773634608697009,9.773634608697009,0.37467748,0.06916769,6.666027e-05,0.12222006,0.001118781,1.0
1570000,0.14084929,38.31272727272727,8.122946,9.643013483984566,9.643013483984566,0.78379995,0.067190275,6.526059e-05,0.12175351,0.0010954996,1.0
1580000,0.13919504,33.16549295774648,8.27967,9.852645691445,9.852645691445,0.26206484,0.06591724,6.385625e-05,0.121285394,0.0010721408,1.0
1590000,0.13361013,36.98054474708171,8.12838,9.719653837036255,9.719653837036255,0.29076272,0.07215889,6.230466e-05,0.12076819,0.0010463326,1.0
1600000,0.13298726,37.02919708029197,8.148492,9.654985468589912,9.654985468589912,0.5224961,0.06488006,6.0752995e-05,0.12025098,0.0010205234,1.0
1610000,0.12323445,36.41379310344828,8.09612,9.68576343442875,9.68576343442875,0.3190692,0.070344314,5.9191887e-05,0.11973061,0.0009945568,1.0
1620000,0.12973171,35.764940239043824,8.049076,9.839301672838037,9.839301672838037,0.3670805,0.07126555,5.7777794e-05,0.119259246,0.00097103586,1.0
1630000,0.13208257,38.06959706959707,8.088366,9.613003715764393,9.613003715764393,0.3685272,0.07342846,5.6354696e-05,0.11878487,0.00094736496,1.0
1640000,0.13359234,35.67153284671533,8.15207,9.806412220759825,9.806412220759825,0.3432675,0.06861297,5.4804386e-05,0.11826811,0.00092157826,1.0
1650000,0.12575412,35.75185185185185,8.168879,9.656627239121331,9.656627239121331,0.61413324,0.06494986,5.325002e-05,0.117749974,0.000895724,1.0
1660000,0.12541078,35.47583643122677,8.226126,9.843161819502711,9.843161819502711,0.2905309,0.071259424,5.1698607e-05,0.117232844,0.00086991873,1.0
1670000,0.13715589,40.92274678111588,7.8391485,9.380567767409257,9.380567767409257,0.9438726,0.072201125,5.0142175e-05,0.11671404,0.00084403006,1.0
1680000,0.13026904,39.86923076923077,8.004579,9.599419576360246,9.599419576360246,0.7990298,0.068615474,4.8747726e-05,0.11624921,0.0008208357,1.0
1690000,0.13787971,36.83203125,8.076649,9.79776492905478,9.79776492905478,0.36102846,0.06291152,4.7343063e-05,0.115780994,0.0007974714,1.0
1700000,0.1287968,34.357894736842105,8.258801,9.81378331103108,9.81378331103108,0.30845854,0.07197563,4.5788038e-05,0.11526265,0.0007716062,1.0
1710000,0.13872547,34.613382899628256,8.200056,9.697990209524042,9.697990209524042,0.87029254,0.0628595,4.4236676e-05,0.114745535,0.0007458019,1.0
1720000,0.12618467,36.1390977443609,8.14164,9.602397562141688,9.602397562141688,0.93421257,0.06460486,4.2680877e-05,0.11422694,0.0007199238,1.0
1730000,0.12330984,41.174089068825914,7.936501,9.573302947139345,9.573302947139345,0.38536507,0.06324728,4.1128438e-05,0.11370945,0.0006941016,1.0
1740000,0.13551188,38.94285714285714,7.857347,9.58600008642056,9.58600008642056,0.9009917,0.07438114,3.9729646e-05,0.113243185,0.000670835,1.0
1750000,0.13821521,35.01779359430605,8.181399,9.774448484818706,9.774448484818706,0.37354314,0.069415495,3.8335857e-05,0.11277859,0.0006476516,1.0
1760000,0.13905357,37.75390625,8.002714,9.600088216335394,9.600088216335394,0.6921753,0.068222746,3.678939e-05,0.1122631,0.0006219288,1.0
1770000,0.13490993,36.15,8.107943,9.724811788164933,9.724811788164933,0.6089466,0.066866264,3.5237066e-05,0.11174567,0.0005961084,1.0
